Year,Country,SubRegion,NumberOfParticipants,NumberPrevOlympic,RankPerYear
2012,Canada,Northern America,273,201,11
2014,Canada,Northern America,217,273,2
1984,China,Eastern Asia,215,0,9
1988,China,Eastern Asia,273,215,7
1992,China,Eastern Asia,244,273,11
1996,China,Eastern Asia,294,244,11
2000,China,Eastern Asia,271,294,11
2002,China,Eastern Asia,66,271,15
2004,China,Eastern Asia,384,66,6
2006,China,Eastern Asia,73,384,13
2008,China,Eastern Asia,599,73,1
2010,China,Eastern Asia,86,599,13
2012,China,Eastern Asia,375,86,6
2014,China,Eastern Asia,62,375,15
1904,Cuba,Caribbean,3,0,8
1980,Cuba,Caribbean,208,3,9
2000,Cuba,Caribbean,229,208,15
1994,Czech Republic,Eastern Europe,63,0,10
1998,Czech Republic,Eastern Europe,61,63,13
2002,Czech Republic,Eastern Europe,76,61,13
2006,Czech Republic,Eastern Europe,83,76,10
2010,Czech Republic,Eastern Europe,90,83,12
2014,Czech Republic,Eastern Europe,87,90,13
1920,Czechoslovakia,Central Europe,119,0,9
1924,Czechoslovakia,Central Europe,133,119,9
1936,Czechoslovakia,Central Europe,190,133,9
1956,Czechoslovakia,Central Europe,63,190,14
1960,Czechoslovakia,Central Europe,116,63,15
1964,Czechoslovakia,Central Europe,104,116,15
1968,Czechoslovakia,Central Europe,121,104,15
1972,Czechoslovakia,Central Europe,181,121,12
1976,Czechoslovakia,Central Europe,163,181,13
1980,Czechoslovakia,Central Europe,209,163,8
1992,Czechoslovakia,Central Europe,208,209,14
1900,Denmark,Northern Europe,13,0,11
1906,Denmark,Northern Europe,49,13,4
1908,Denmark,Northern Europe,78,49,8
1912,Denmark,Northern Europe,152,78,8
1920,Denmark,Northern Europe,154,152,7
1924,Denmark,Northern Europe,89,154,12
1928,Denmark,Northern Europe,91,89,12
1932,Denmark,Northern Europe,43,91,14
1936,Denmark,Northern Europe,121,43,15
1948,Denmark,Northern Europe,162,121,8
1952,Denmark,Northern Europe,129,162,12
1968,East Germany,Western Europe,226,0,5
1972,East Germany,Western Europe,297,226,4
1976,East Germany,Western Europe,267,297,5
1980,East Germany,Western Europe,346,267,2
1988,East Germany,Western Europe,259,346,9
1908,Finland,Northern Europe,62,0,13
1912,Finland,Northern Europe,164,62,6
1920,Finland,Northern Europe,63,164,11
1924,Finland,Northern Europe,121,63,10
1932,Finland,Northern Europe,40,121,15
1948,Finland,Northern Europe,129,40,12
1952,Finland,Northern Europe,258,129,3
1956,Finland,Northern Europe,64,258,12
1960,Finland,Northern Europe,117,64,14
1994,Finland,Northern Europe,61,117,11
1998,Finland,Northern Europe,85,61,10
2002,Finland,Northern Europe,98,85,10
2006,Finland,Northern Europe,90,98,9
2010,Finland,Northern Europe,91,90,10
2014,Finland,Northern Europe,99,91,11
1900,France,Western Europe,720,0,1
1904,France,Western Europe,1,720,13
1906,France,Western Europe,56,1,3
1908,France,Western Europe,208,56,2
1912,France,Western Europe,119,208,10
1920,France,Western Europe,304,119,1
1924,France,Western Europe,401,304,1
1928,France,Western Europe,256,401,4
1932,France,Western Europe,103,256,6
1936,France,Western Europe,201,103,8
1948,France,Western Europe,316,201,2
1952,France,Western Europe,245,316,5
1956,France,Western Europe,137,245,6
1960,France,Western Europe,238,137,6
1964,France,Western Europe,138,238,11
1968,France,Western Europe,200,138,7
1972,France,Western Europe,227,200,8
1976,France,Western Europe,206,227,10
1980,France,Western Europe,121,206,14
1984,France,Western Europe,238,121,7
1988,France,Western Europe,266,238,8
1992,France,Western Europe,339,266,6
1994,France,Western Europe,98,339,5
1996,France,Western Europe,301,98,9
1998,France,Western Europe,106,301,7
2000,France,Western Europe,337,106,6
2002,France,Western Europe,114,337,5
2004,France,Western Europe,308,114,9
2006,France,Western Europe,82,308,11
2008,France,Western Europe,309,82,9
2010,France,Western Europe,104,309,7
2012,France,Western Europe,324,104,7
2014,France,Western Europe,107,324,10
1900,Germany,Western Europe,76,0,3
1904,Germany,Western Europe,22,76,3
1906,Germany,Western Europe,49,22,5
1908,Germany,Western Europe,82,49,7
1912,Germany,Western Europe,185,82,4
1928,Germany,Western Europe,295,185,1
1932,Germany,Western Europe,144,295,3
1936,Germany,Western Europe,433,144,1
1952,Germany,Western Europe,205,433,8
1956,Germany,Western Europe,158,205,5
1960,Germany,Western Europe,293,158,1
1964,Germany,Western Europe,337,293,2
1992,Germany,Western Europe,463,337,3
1994,Germany,Western Europe,112,463,3
1996,Germany,Western Europe,466,112,2
1998,Germany,Western Europe,125,466,4
2000,Germany,Western Europe,422,125,4
2002,Germany,Western Europe,157,422,2
2004,Germany,Western Europe,441,157,4
2006,Germany,Western Europe,155,441,5
2008,Germany,Western Europe,420,155,5
2010,Germany,Western Europe,149,420,4
2012,Germany,Western Europe,383,149,5
2014,Germany,Western Europe,151,383,5
1900,Great Britain,Northern Europe,104,0,2
1904,Great Britain,Northern Europe,6,104,6
1906,Great Britain,Northern Europe,48,6,6
1908,Great Britain,Northern Europe,735,48,1
1912,Great Britain,Northern Europe,274,735,2
1920,Great Britain,Northern Europe,234,274,4
1924,Great Britain,Northern Europe,267,234,3
1928,Great Britain,Northern Europe,232,267,5
1932,Great Britain,Northern Europe,108,232,5
1936,Great Britain,Northern Europe,208,108,7
1948,Great Britain,Northern Europe,403,208,1
1952,Great Britain,Northern Europe,257,403,4
1956,Great Britain,Northern Europe,189,257,4
1960,Great Britain,Northern Europe,253,189,5
1964,Great Britain,Northern Europe,204,253,6
1968,Great Britain,Northern Europe,225,204,6
1972,Great Britain,Northern Europe,284,225,6
1976,Great Britain,Northern Europe,242,284,6
1980,Great Britain,Northern Europe,219,242,7
1984,Great Britain,Northern Europe,337,219,4
1988,Great Britain,Northern Europe,345,337,5
1992,Great Britain,Northern Europe,371,345,5
1996,Great Britain,Northern Europe,300,371,10
2000,Great Britain,Northern Europe,310,300,8
2004,Great Britain,Northern Europe,264,310,11
2008,Great Britain,Northern Europe,304,264,10
2012,Great Britain,Northern Europe,530,304,1
1904,Greece,Southern Europe,14,0,4
1906,Greece,Southern Europe,312,14,1
1908,Greece,Southern Europe,20,312,15
1920,Greece,Southern Europe,47,20,14
2004,Greece,Southern Europe,426,47,5
1900,Hungary,Eastern Europe,18,0,8
1904,Hungary,Eastern Europe,4,18,7
1906,Hungary,Eastern Europe,35,4,9
1908,Hungary,Eastern Europe,65,35,12
1912,Hungary,Eastern Europe,121,65,9
1924,Hungary,Eastern Europe,89,121,13
1928,Hungary,Eastern Europe,109,89,9
1932,Hungary,Eastern Europe,58,109,11
1936,Hungary,Eastern Europe,216,58,6
1948,Hungary,Eastern Europe,128,216,13
1952,Hungary,Eastern Europe,189,128,9
1956,Hungary,Eastern Europe,108,189,9
1960,Hungary,Eastern Europe,184,108,9
1964,Hungary,Eastern Europe,182,184,7
1968,Hungary,Eastern Europe,167,182,10
1972,Hungary,Eastern Europe,232,167,7
1976,Hungary,Eastern Europe,178,232,12
1980,Hungary,Eastern Europe,263,178,5
1988,Hungary,Eastern Europe,188,263,14
1992,Hungary,Eastern Europe,217,188,13
1900,Italy,Southern Europe,23,0,7
1904,Italy,Southern Europe,1,23,14
1906,Italy,Southern Europe,76,1,2
1908,Italy,Southern Europe,66,76,11
1912,Italy,Southern Europe,66,66,12
1920,Italy,Southern Europe,174,66,6
1924,Italy,Southern Europe,200,174,4
1928,Italy,Southern Europe,174,200,7
1932,Italy,Southern Europe,112,174,4
1936,Italy,Southern Europe,244,112,3
1948,Italy,Southern Europe,215,244,4
1952,Italy,Southern Europe,231,215,6
1956,Italy,Southern Europe,129,231,7
1960,Italy,Southern Europe,280,129,4
1964,Italy,Southern Europe,168,280,8
1968,Italy,Southern Europe,167,168,11
1972,Italy,Southern Europe,224,167,9
1976,Italy,Southern Europe,210,224,8
1980,Italy,Southern Europe,159,210,11
1984,Italy,Southern Europe,268,159,5
1988,Italy,Southern Europe,253,268,11
1992,Italy,Southern Europe,304,253,7
1994,Italy,Southern Europe,104,304,4
1996,Italy,Southern Europe,340,104,5
1998,Italy,Southern Europe,113,340,6
2000,Italy,Southern Europe,361,113,5
2002,Italy,Southern Europe,109,361,7
2004,Italy,Southern Europe,364,109,7
2006,Italy,Southern Europe,179,364,3
2008,Italy,Southern Europe,333,179,6
2010,Italy,Southern Europe,109,333,6
2012,Italy,Southern Europe,281,109,9
2014,Italy,Southern Europe,110,281,8
1932,Japan,Eastern Asia,157,0,2
1936,Japan,Eastern Asia,220,157,5
1956,Japan,Eastern Asia,110,220,8
1960,Japan,Eastern Asia,162,110,10
1964,Japan,Eastern Asia,328,162,3
1968,Japan,Eastern Asia,171,328,9
1972,Japan,Eastern Asia,184,171,11
1976,Japan,Eastern Asia,213,184,7
1984,Japan,Eastern Asia,226,213,8
1988,Japan,Eastern Asia,255,226,10
1992,Japan,Eastern Asia,256,255,10
1994,Japan,Eastern Asia,59,256,12
1996,Japan,Eastern Asia,307,59,6
1998,Japan,Eastern Asia,156,307,2
2000,Japan,Eastern Asia,266,156,12
2002,Japan,Eastern Asia,103,266,8
2004,Japan,Eastern Asia,306,103,10
2006,Japan,Eastern Asia,110,306,7
2008,Japan,Eastern Asia,332,110,8
2010,Japan,Eastern Asia,91,332,11
2012,Japan,Eastern Asia,291,91,8
2014,Japan,Eastern Asia,111,291,7
1998,Kazakhstan,Central Asia,60,0,14
1932,Mexico,Central America,73,0,9
1968,Mexico,Central America,275,73,3
1972,Mexico,Central America,174,174,13
1900,Netherlands,Western Europe,35,0,6
1906,Netherlands,Western Europe,16,35,13
1908,Netherlands,Western Europe,113,16,5
1920,Netherlands,Western Europe,130,113,8
1924,Netherlands,Western Europe,177,130,5
1928,Netherlands,Western Europe,266,177,3
1932,Netherlands,Western Europe,45,266,13
1936,Netherlands,Western Europe,165,45,12
1948,Netherlands,Western Europe,149,165,10
1964,Netherlands,Western Europe,125,149,13
1984,Netherlands,Western Europe,136,125,15
1992,Netherlands,Western Europe,201,136,15
1996,Netherlands,Western Europe,239,201,13
2000,Netherlands,Western Europe,231,239,13
1900,Norway,Northern Europe,7,0,15
1904,Norway,Northern Europe,2,7,11
1906,Norway,Northern Europe,32,2,10
1908,Norway,Northern Europe,69,32,10
1912,Norway,Northern Europe,190,69,3
1920,Norway,Northern Europe,194,190,5
1994,Norway,Northern Europe,88,194,7
1998,Norway,Northern Europe,76,88,11
2002,Norway,Northern Europe,77,76,12
2006,Norway,Northern Europe,67,77,14
2010,Norway,Northern Europe,95,67,9
2014,Norway,Northern Europe,110,95,9
1928,Poland,Eastern Europe,93,0,11
1932,Poland,Eastern Europe,51,93,12
1936,Poland,Eastern Europe,144,51,14
1952,Poland,Eastern Europe,125,144,13
1956,Poland,Eastern Europe,64,125,13
1960,Poland,Eastern Europe,185,64,8
1964,Poland,Eastern Europe,140,185,10
1968,Poland,Eastern Europe,177,140,8
1972,Poland,Eastern Europe,290,177,5
1976,Poland,Eastern Europe,207,290,9
1980,Poland,Eastern Europe,306,207,3
2008,Poland,Eastern Europe,257,306,14
2012,Poland,Eastern Europe,210,257,15
1952,Romania,Eastern Europe,114,0,15
1964,Romania,Eastern Europe,138,114,12
1972,Romania,Eastern Europe,159,138,15
1976,Romania,Eastern Europe,157,159,15
1980,Romania,Eastern Europe,228,157,6
1912,Russia,Eastern Europe,159,0,7
1994,Russia,Eastern Europe,113,159,2
1996,Russia,Eastern Europe,391,113,4
1998,Russia,Eastern Europe,122,391,5
2000,Russia,Eastern Europe,435,122,3
2002,Russia,Eastern Europe,151,435,3
2004,Russia,Eastern Europe,446,151,3
2006,Russia,Eastern Europe,174,446,4
2008,Russia,Eastern Europe,454,174,3
2010,Russia,Eastern Europe,175,454,3
2012,Russia,Eastern Europe,430,175,3
2014,Russia,Eastern Europe,213,430,3
1994,Slovakia,Eastern Europe,42,0,14
2006,Slovakia,Eastern Europe,58,42,15
2010,Slovakia,Eastern Europe,68,58,15
1904,South Africa,Southern Africa,8,0,5
1920,South Africa,Southern Africa,39,8,15
1964,South Korea,Eastern Asia,154,0,9
1984,South Korea,Eastern Asia,175,154,11
1988,South Korea,Eastern Asia,401,175,3
1992,South Korea,Eastern Asia,226,401,12
1996,South Korea,Eastern Asia,302,226,8
2000,South Korea,Eastern Asia,281,302,10
2004,South Korea,Eastern Asia,264,281,12
2008,South Korea,Eastern Asia,265,264,13
2012,South Korea,Eastern Asia,250,265,12
2014,South Korea,Eastern Asia,71,250,14
1952,Soviet Union,Eastern Europe,295,0,1
1956,Soviet Union,Eastern Europe,272,295,3
1960,Soviet Union,Eastern Europe,283,272,3
1964,Soviet Union,Eastern Europe,317,283,4
1968,Soviet Union,Eastern Europe,312,317,2
1972,Soviet Union,Eastern Europe,371,312,3
1976,Soviet Union,Eastern Europe,410,371,1
1980,Soviet Union,Eastern Europe,489,410,1
1988,Soviet Union,Eastern Europe,481,489,2
1900,Spain,Southern Europe,9,0,13
1920,Spain,Southern Europe,58,9,12
1924,Spain,Southern Europe,95,58,11
1928,Spain,Southern Europe,80,95,14
1960,Spain,Southern Europe,144,80,12
1968,Spain,Southern Europe,122,144,14
1980,Spain,Southern Europe,155,122,12
1984,Spain,Southern Europe,179,155,10
1988,Spain,Southern Europe,229,179,13
1992,Spain,Southern Europe,422,229,4
1996,Spain,Southern Europe,289,422,12
2000,Spain,Southern Europe,321,289,7
2004,Spain,Southern Europe,317,321,8
2008,Spain,Southern Europe,284,317,11
2012,Spain,Southern Europe,278,284,10
1900,Sweden,Northern Europe,10,0,12
1906,Sweden,Northern Europe,39,10,7
1908,Sweden,Northern Europe,168,39,3
1912,Sweden,Northern Europe,444,168,1
1920,Sweden,Northern Europe,260,444,3
1924,Sweden,Northern Europe,159,260,7
1928,Sweden,Northern Europe,100,159,10
1932,Sweden,Northern Europe,81,100,8
1936,Sweden,Northern Europe,171,81,11
1948,Sweden,Northern Europe,181,171,7
1952,Sweden,Northern Europe,206,181,7
1956,Sweden,Northern Europe,88,206,11
1960,Sweden,Northern Europe,134,88,13
1980,Sweden,Northern Europe,145,134,13
1984,Sweden,Northern Europe,174,145,12
1988,Sweden,Northern Europe,185,174,15
1994,Sweden,Northern Europe,84,185,8
1998,Sweden,Northern Europe,99,84,8
2002,Sweden,Northern Europe,102,99,9
2006,Sweden,Northern Europe,106,102,8
2010,Sweden,Northern Europe,101,106,8
2014,Sweden,Northern Europe,99,101,12
1900,Switzerland,Western Europe,18,0,9
1904,Switzerland,Western Europe,2,18,12
1906,Switzerland,Western Europe,9,2,15
1920,Switzerland,Western Europe,77,9,10
1924,Switzerland,Western Europe,141,77,8
1928,Switzerland,Western Europe,133,141,8
1936,Switzerland,Western Europe,190,133,10
1948,Switzerland,Western Europe,186,190,6
1952,Switzerland,Western Europe,157,186,10
1960,Switzerland,Western Europe,149,157,11
1994,Switzerland,Western Europe,59,149,13
1998,Switzerland,Western Europe,69,59,12
2002,Switzerland,Western Europe,110,69,6
2006,Switzerland,Western Europe,125,110,6
2010,Switzerland,Western Europe,134,125,5
2014,Switzerland,Western Europe,152,134,4
1994,Ukraine,Eastern Europe,37,0,15
1996,Ukraine,Eastern Europe,231,37,14
2000,Ukraine,Eastern Europe,230,231,14
2002,Ukraine,Eastern Europe,68,230,14
2004,Ukraine,Eastern Europe,239,68,15
2008,Ukraine,Eastern Europe,243,239,15
2012,Ukraine,Eastern Europe,230,243,14
1992,Unified Team,Eastern Europe,475,0,2
1900,United States,North America,75,0,4
1904,United States,North America,526,75,1
1906,United States,North America,38,526,8
1908,United States,North America,122,38,4
1912,United States,North America,174,122,5
1920,United States,North America,288,174,2
1924,United States,North America,299,288,2
1928,United States,North America,280,299,2
1932,United States,North America,474,280,1
1936,United States,North America,359,474,2
1948,United States,North America,300,359,3
1952,United States,North America,286,300,2
1956,United States,North America,297,286,1
1960,United States,North America,292,297,2
1964,United States,North America,346,292,1
1968,United States,North America,357,346,1
1972,United States,North America,400,357,2
1976,United States,North America,396,400,2
1984,United States,North America,522,396,1
1988,United States,North America,527,522,1
1992,United States,North America,545,527,1
1994,United States,North America,147,545,1
1996,United States,North America,647,147,1
1998,United States,North America,186,647,1
2000,United States,North America,586,186,2
2002,United States,North America,202,586,1
2004,United States,North America,533,202,1
2006,United States,North America,204,533,1
2008,United States,North America,588,204,2
2010,United States,North America,212,588,1
2012,United States,North America,530,212,2
2014,United States,North America,223,530,1
1968,West Germany,Western Europe,275,0,4
1972,West Germany,Western Europe,423,275,1
1976,West Germany,Western Europe,290,423,4
1984,West Germany,Western Europe,390,290,3
1988,West Germany,Western Europe,347,390,4
1948,Yugoslavia,Western Europe,90,0,15
1980,Yugoslavia,Western Europe,164,90,10
1984,Yugoslavia,Western Europe,139,164,14
